buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,_2,_2,small,low,unacc
vhigh,vhigh,_2,_2,small,med,unacc
vhigh,vhigh,_2,_2,small,high,unacc
vhigh,vhigh,_2,_2,med,low,unacc
vhigh,vhigh,_2,_2,med,med,unacc
vhigh,vhigh,_2,_2,med,high,unacc
vhigh,vhigh,_2,_2,big,low,unacc
vhigh,vhigh,_2,_2,big,med,unacc
vhigh,vhigh,_2,_2,big,high,unacc
vhigh,vhigh,_2,_4,small,low,unacc
vhigh,vhigh,_2,_4,small,med,unacc
vhigh,vhigh,_2,_4,small,high,unacc
vhigh,vhigh,_2,_4,med,low,unacc
vhigh,vhigh,_2,_4,med,med,unacc
vhigh,vhigh,_2,_4,med,high,unacc
vhigh,vhigh,_2,_4,big,low,unacc
vhigh,vhigh,_2,_4,big,med,unacc
vhigh,vhigh,_2,_4,big,high,unacc
vhigh,vhigh,_2,more,small,low,unacc
vhigh,vhigh,_2,more,small,med,unacc
vhigh,vhigh,_2,more,small,high,unacc
vhigh,vhigh,_2,more,med,low,unacc
vhigh,vhigh,_2,more,med,med,unacc
vhigh,vhigh,_2,more,med,high,unacc
vhigh,vhigh,_2,more,big,low,unacc
vhigh,vhigh,_2,more,big,med,unacc
vhigh,vhigh,_2,more,big,high,unacc
vhigh,vhigh,_3,_2,small,low,unacc
vhigh,vhigh,_3,_2,small,med,unacc
vhigh,vhigh,_3,_2,small,high,unacc
vhigh,vhigh,_3,_2,med,low,unacc
vhigh,vhigh,_3,_2,med,med,unacc
vhigh,vhigh,_3,_2,med,high,unacc
vhigh,vhigh,_3,_2,big,low,unacc
vhigh,vhigh,_3,_2,big,med,unacc
vhigh,vhigh,_3,_2,big,high,unacc
vhigh,vhigh,_3,_4,small,low,unacc
vhigh,vhigh,_3,_4,small,med,unacc
vhigh,vhigh,_3,_4,small,high,unacc
vhigh,vhigh,_3,_4,med,low,unacc
vhigh,vhigh,_3,_4,med,med,unacc
vhigh,vhigh,_3,_4,med,high,unacc
vhigh,vhigh,_3,_4,big,low,unacc
vhigh,vhigh,_3,_4,big,med,unacc
vhigh,vhigh,_3,_4,big,high,unacc
vhigh,vhigh,_3,more,small,low,unacc
vhigh,vhigh,_3,more,small,med,unacc
vhigh,vhigh,_3,more,small,high,unacc
vhigh,vhigh,_3,more,med,low,unacc
vhigh,vhigh,_3,more,med,med,unacc
vhigh,vhigh,_3,more,med,high,unacc
vhigh,vhigh,_3,more,big,low,unacc
vhigh,vhigh,_3,more,big,med,unacc
vhigh,vhigh,_3,more,big,high,unacc
vhigh,vhigh,_4,_2,small,low,unacc
vhigh,vhigh,_4,_2,small,med,unacc
vhigh,vhigh,_4,_2,small,high,unacc
vhigh,vhigh,_4,_2,med,low,unacc
vhigh,vhigh,_4,_2,med,med,unacc
vhigh,vhigh,_4,_2,med,high,unacc
vhigh,vhigh,_4,_2,big,low,unacc
vhigh,vhigh,_4,_2,big,med,unacc
vhigh,vhigh,_4,_2,big,high,unacc
vhigh,vhigh,_4,_4,small,low,unacc
vhigh,vhigh,_4,_4,small,med,unacc
vhigh,vhigh,_4,_4,small,high,unacc
vhigh,vhigh,_4,_4,med,low,unacc
vhigh,vhigh,_4,_4,med,med,unacc
vhigh,vhigh,_4,_4,med,high,unacc
vhigh,vhigh,_4,_4,big,low,unacc
vhigh,vhigh,_4,_4,big,med,unacc
vhigh,vhigh,_4,_4,big,high,unacc
vhigh,vhigh,_4,more,small,low,unacc
vhigh,vhigh,_4,more,small,med,unacc
vhigh,vhigh,_4,more,small,high,unacc
vhigh,vhigh,_4,more,med,low,unacc
vhigh,vhigh,_4,more,med,med,unacc
vhigh,vhigh,_4,more,med,high,unacc
vhigh,vhigh,_4,more,big,low,unacc
vhigh,vhigh,_4,more,big,med,unacc
vhigh,vhigh,_4,more,big,high,unacc
vhigh,vhigh,5more,_2,small,low,unacc
vhigh,vhigh,5more,_2,small,med,unacc
vhigh,vhigh,5more,_2,small,high,unacc
vhigh,vhigh,5more,_2,med,low,unacc
vhigh,vhigh,5more,_2,med,med,unacc
vhigh,vhigh,5more,_2,med,high,unacc
vhigh,vhigh,5more,_2,big,low,unacc
vhigh,vhigh,5more,_2,big,med,unacc
vhigh,vhigh,5more,_2,big,high,unacc
vhigh,vhigh,5more,_4,small,low,unacc
vhigh,vhigh,5more,_4,small,med,unacc
vhigh,vhigh,5more,_4,small,high,unacc
vhigh,vhigh,5more,_4,med,low,unacc
vhigh,vhigh,5more,_4,med,med,unacc
vhigh,vhigh,5more,_4,med,high,unacc
vhigh,vhigh,5more,_4,big,low,unacc
vhigh,vhigh,5more,_4,big,med,unacc
vhigh,vhigh,5more,_4,big,high,unacc
vhigh,vhigh,5more,more,small,low,unacc
vhigh,vhigh,5more,more,small,med,unacc
vhigh,vhigh,5more,more,small,high,unacc
vhigh,vhigh,5more,more,med,low,unacc
vhigh,vhigh,5more,more,med,med,unacc
vhigh,vhigh,5more,more,med,high,unacc
vhigh,vhigh,5more,more,big,low,unacc
vhigh,vhigh,5more,more,big,med,unacc
vhigh,vhigh,5more,more,big,high,unacc
vhigh,high,_2,_2,small,low,unacc
vhigh,high,_2,_2,small,med,unacc
vhigh,high,_2,_2,small,high,unacc
vhigh,high,_2,_2,med,low,unacc
vhigh,high,_2,_2,med,med,unacc
vhigh,high,_2,_2,med,high,unacc
vhigh,high,_2,_2,big,low,unacc
vhigh,high,_2,_2,big,med,unacc
vhigh,high,_2,_2,big,high,unacc
vhigh,high,_2,_4,small,low,unacc
vhigh,high,_2,_4,small,med,unacc
vhigh,high,_2,_4,small,high,unacc
vhigh,high,_2,_4,med,low,unacc
vhigh,high,_2,_4,med,med,unacc
vhigh,high,_2,_4,med,high,unacc
vhigh,high,_2,_4,big,low,unacc
vhigh,high,_2,_4,big,med,unacc
vhigh,high,_2,_4,big,high,unacc
vhigh,high,_2,more,small,low,unacc
vhigh,high,_2,more,small,med,unacc
vhigh,high,_2,more,small,high,unacc
vhigh,high,_2,more,med,low,unacc
vhigh,high,_2,more,med,med,unacc
vhigh,high,_2,more,med,high,unacc
vhigh,high,_2,more,big,low,unacc
vhigh,high,_2,more,big,med,unacc
vhigh,high,_2,more,big,high,unacc
vhigh,high,_3,_2,small,low,unacc
vhigh,high,_3,_2,small,med,unacc
vhigh,high,_3,_2,small,high,unacc
vhigh,high,_3,_2,med,low,unacc
vhigh,high,_3,_2,med,med,unacc
vhigh,high,_3,_2,med,high,unacc
vhigh,high,_3,_2,big,low,unacc
vhigh,high,_3,_2,big,med,unacc
vhigh,high,_3,_2,big,high,unacc
vhigh,high,_3,_4,small,low,unacc
vhigh,high,_3,_4,small,med,unacc
vhigh,high,_3,_4,small,high,unacc
vhigh,high,_3,_4,med,low,unacc
vhigh,high,_3,_4,med,med,unacc
vhigh,high,_3,_4,med,high,unacc
vhigh,high,_3,_4,big,low,unacc
vhigh,high,_3,_4,big,med,unacc
vhigh,high,_3,_4,big,high,unacc
vhigh,high,_3,more,small,low,unacc
vhigh,high,_3,more,small,med,unacc
vhigh,high,_3,more,small,high,unacc
vhigh,high,_3,more,med,low,unacc
vhigh,high,_3,more,med,med,unacc
vhigh,high,_3,more,med,high,unacc
vhigh,high,_3,more,big,low,unacc
vhigh,high,_3,more,big,med,unacc
vhigh,high,_3,more,big,high,unacc
vhigh,high,_4,_2,small,low,unacc
vhigh,high,_4,_2,small,med,unacc
vhigh,high,_4,_2,small,high,unacc
vhigh,high,_4,_2,med,low,unacc
vhigh,high,_4,_2,med,med,unacc
vhigh,high,_4,_2,med,high,unacc
vhigh,high,_4,_2,big,low,unacc
vhigh,high,_4,_2,big,med,unacc
vhigh,high,_4,_2,big,high,unacc
vhigh,high,_4,_4,small,low,unacc
vhigh,high,_4,_4,small,med,unacc
vhigh,high,_4,_4,small,high,unacc
vhigh,high,_4,_4,med,low,unacc
vhigh,high,_4,_4,med,med,unacc
vhigh,high,_4,_4,med,high,unacc
vhigh,high,_4,_4,big,low,unacc
vhigh,high,_4,_4,big,med,unacc
vhigh,high,_4,_4,big,high,unacc
vhigh,high,_4,more,small,low,unacc
vhigh,high,_4,more,small,med,unacc
vhigh,high,_4,more,small,high,unacc
vhigh,high,_4,more,med,low,unacc
vhigh,high,_4,more,med,med,unacc
vhigh,high,_4,more,med,high,unacc
vhigh,high,_4,more,big,low,unacc
vhigh,high,_4,more,big,med,unacc
vhigh,high,_4,more,big,high,unacc
vhigh,high,5more,_2,small,low,unacc
vhigh,high,5more,_2,small,med,unacc
vhigh,high,5more,_2,small,high,unacc
vhigh,high,5more,_2,med,low,unacc
vhigh,high,5more,_2,med,med,unacc
vhigh,high,5more,_2,med,high,unacc
vhigh,high,5more,_2,big,low,unacc
vhigh,high,5more,_2,big,med,unacc
vhigh,high,5more,_2,big,high,unacc
vhigh,high,5more,_4,small,low,unacc
vhigh,high,5more,_4,small,med,unacc
vhigh,high,5more,_4,small,high,unacc
vhigh,high,5more,_4,med,low,unacc
vhigh,high,5more,_4,med,med,unacc
vhigh,high,5more,_4,med,high,unacc
vhigh,high,5more,_4,big,low,unacc
vhigh,high,5more,_4,big,med,unacc
vhigh,high,5more,_4,big,high,unacc
vhigh,high,5more,more,small,low,unacc
vhigh,high,5more,more,small,med,unacc
vhigh,high,5more,more,small,high,unacc
vhigh,high,5more,more,med,low,unacc
vhigh,high,5more,more,med,med,unacc
vhigh,high,5more,more,med,high,unacc
vhigh,high,5more,more,big,low,unacc
vhigh,high,5more,more,big,med,unacc
vhigh,high,5more,more,big,high,unacc
vhigh,med,_2,_2,small,low,unacc
vhigh,med,_2,_2,small,med,unacc
vhigh,med,_2,_2,small,high,unacc
vhigh,med,_2,_2,med,low,unacc
vhigh,med,_2,_2,med,med,unacc
vhigh,med,_2,_2,med,high,unacc
vhigh,med,_2,_2,big,low,unacc
vhigh,med,_2,_2,big,med,unacc
vhigh,med,_2,_2,big,high,unacc
vhigh,med,_2,_4,small,low,unacc
vhigh,med,_2,_4,small,med,unacc
vhigh,med,_2,_4,small,high,acc
vhigh,med,_2,_4,med,low,unacc
vhigh,med,_2,_4,med,med,unacc
vhigh,med,_2,_4,med,high,acc
vhigh,med,_2,_4,big,low,unacc
vhigh,med,_2,_4,big,med,acc
vhigh,med,_2,_4,big,high,acc
vhigh,med,_2,more,small,low,unacc
vhigh,med,_2,more,small,med,unacc
vhigh,med,_2,more,small,high,unacc
vhigh,med,_2,more,med,low,unacc
vhigh,med,_2,more,med,med,unacc
vhigh,med,_2,more,med,high,acc
vhigh,med,_2,more,big,low,unacc
vhigh,med,_2,more,big,med,acc
vhigh,med,_2,more,big,high,acc
vhigh,med,_3,_2,small,low,unacc
vhigh,med,_3,_2,small,med,unacc
vhigh,med,_3,_2,small,high,unacc
vhigh,med,_3,_2,med,low,unacc
vhigh,med,_3,_2,med,med,unacc
vhigh,med,_3,_2,med,high,unacc
vhigh,med,_3,_2,big,low,unacc
vhigh,med,_3,_2,big,med,unacc
vhigh,med,_3,_2,big,high,unacc
vhigh,med,_3,_4,small,low,unacc
vhigh,med,_3,_4,small,med,unacc
vhigh,med,_3,_4,small,high,acc
vhigh,med,_3,_4,med,low,unacc
vhigh,med,_3,_4,med,med,unacc
vhigh,med,_3,_4,med,high,acc
vhigh,med,_3,_4,big,low,unacc
vhigh,med,_3,_4,big,med,acc
vhigh,med,_3,_4,big,high,acc
vhigh,med,_3,more,small,low,unacc
vhigh,med,_3,more,small,med,unacc
vhigh,med,_3,more,small,high,acc
vhigh,med,_3,more,med,low,unacc
vhigh,med,_3,more,med,med,acc
vhigh,med,_3,more,med,high,acc
vhigh,med,_3,more,big,low,unacc
vhigh,med,_3,more,big,med,acc
vhigh,med,_3,more,big,high,acc
vhigh,med,_4,_2,small,low,unacc
vhigh,med,_4,_2,small,med,unacc
vhigh,med,_4,_2,small,high,unacc
vhigh,med,_4,_2,med,low,unacc
vhigh,med,_4,_2,med,med,unacc
vhigh,med,_4,_2,med,high,unacc
vhigh,med,_4,_2,big,low,unacc
vhigh,med,_4,_2,big,med,unacc
vhigh,med,_4,_2,big,high,unacc
vhigh,med,_4,_4,small,low,unacc
vhigh,med,_4,_4,small,med,unacc
vhigh,med,_4,_4,small,high,acc
vhigh,med,_4,_4,med,low,unacc
vhigh,med,_4,_4,med,med,acc
vhigh,med,_4,_4,med,high,acc
vhigh,med,_4,_4,big,low,unacc
vhigh,med,_4,_4,big,med,acc
vhigh,med,_4,_4,big,high,acc
vhigh,med,_4,more,small,low,unacc
vhigh,med,_4,more,small,med,unacc
vhigh,med,_4,more,small,high,acc
vhigh,med,_4,more,med,low,unacc
vhigh,med,_4,more,med,med,acc
vhigh,med,_4,more,med,high,acc
vhigh,med,_4,more,big,low,unacc
vhigh,med,_4,more,big,med,acc
vhigh,med,_4,more,big,high,acc
vhigh,med,5more,_2,small,low,unacc
vhigh,med,5more,_2,small,med,unacc
vhigh,med,5more,_2,small,high,unacc
vhigh,med,5more,_2,med,low,unacc
vhigh,med,5more,_2,med,med,unacc
vhigh,med,5more,_2,med,high,unacc
vhigh,med,5more,_2,big,low,unacc
vhigh,med,5more,_2,big,med,unacc
vhigh,med,5more,_2,big,high,unacc
vhigh,med,5more,_4,small,low,unacc
vhigh,med,5more,_4,small,med,unacc
vhigh,med,5more,_4,small,high,acc
vhigh,med,5more,_4,med,low,unacc
vhigh,med,5more,_4,med,med,acc
vhigh,med,5more,_4,med,high,acc
vhigh,med,5more,_4,big,low,unacc
vhigh,med,5more,_4,big,med,acc
vhigh,med,5more,_4,big,high,acc
vhigh,med,5more,more,small,low,unacc
vhigh,med,5more,more,small,med,unacc
vhigh,med,5more,more,small,high,acc
vhigh,med,5more,more,med,low,unacc
vhigh,med,5more,more,med,med,acc
vhigh,med,5more,more,med,high,acc
vhigh,med,5more,more,big,low,unacc
vhigh,med,5more,more,big,med,acc
vhigh,med,5more,more,big,high,acc
vhigh,low,_2,_2,small,low,unacc
vhigh,low,_2,_2,small,med,unacc
vhigh,low,_2,_2,small,high,unacc
vhigh,low,_2,_2,med,low,unacc
vhigh,low,_2,_2,med,med,unacc
vhigh,low,_2,_2,med,high,unacc
vhigh,low,_2,_2,big,low,unacc
vhigh,low,_2,_2,big,med,unacc
vhigh,low,_2,_2,big,high,unacc
vhigh,low,_2,_4,small,low,unacc
vhigh,low,_2,_4,small,med,unacc
vhigh,low,_2,_4,small,high,acc
vhigh,low,_2,_4,med,low,unacc
vhigh,low,_2,_4,med,med,unacc
vhigh,low,_2,_4,med,high,acc
vhigh,low,_2,_4,big,low,unacc
vhigh,low,_2,_4,big,med,acc
vhigh,low,_2,_4,big,high,acc
vhigh,low,_2,more,small,low,unacc
vhigh,low,_2,more,small,med,unacc
vhigh,low,_2,more,small,high,unacc
vhigh,low,_2,more,med,low,unacc
vhigh,low,_2,more,med,med,unacc
vhigh,low,_2,more,med,high,acc
vhigh,low,_2,more,big,low,unacc
vhigh,low,_2,more,big,med,acc
vhigh,low,_2,more,big,high,acc
vhigh,low,_3,_2,small,low,unacc
vhigh,low,_3,_2,small,med,unacc
vhigh,low,_3,_2,small,high,unacc
vhigh,low,_3,_2,med,low,unacc
vhigh,low,_3,_2,med,med,unacc
vhigh,low,_3,_2,med,high,unacc
vhigh,low,_3,_2,big,low,unacc
vhigh,low,_3,_2,big,med,unacc
vhigh,low,_3,_2,big,high,unacc
vhigh,low,_3,_4,small,low,unacc
vhigh,low,_3,_4,small,med,unacc
vhigh,low,_3,_4,small,high,acc
vhigh,low,_3,_4,med,low,unacc
vhigh,low,_3,_4,med,med,unacc
vhigh,low,_3,_4,med,high,acc
vhigh,low,_3,_4,big,low,unacc
vhigh,low,_3,_4,big,med,acc
vhigh,low,_3,_4,big,high,acc
vhigh,low,_3,more,small,low,unacc
vhigh,low,_3,more,small,med,unacc
vhigh,low,_3,more,small,high,acc
vhigh,low,_3,more,med,low,unacc
vhigh,low,_3,more,med,med,acc
vhigh,low,_3,more,med,high,acc
vhigh,low,_3,more,big,low,unacc
vhigh,low,_3,more,big,med,acc
vhigh,low,_3,more,big,high,acc
vhigh,low,_4,_2,small,low,unacc
vhigh,low,_4,_2,small,med,unacc
vhigh,low,_4,_2,small,high,unacc
vhigh,low,_4,_2,med,low,unacc
vhigh,low,_4,_2,med,med,unacc
vhigh,low,_4,_2,med,high,unacc
vhigh,low,_4,_2,big,low,unacc
vhigh,low,_4,_2,big,med,unacc
vhigh,low,_4,_2,big,high,unacc
vhigh,low,_4,_4,small,low,unacc
vhigh,low,_4,_4,small,med,unacc
vhigh,low,_4,_4,small,high,acc
vhigh,low,_4,_4,med,low,unacc
vhigh,low,_4,_4,med,med,acc
vhigh,low,_4,_4,med,high,acc
vhigh,low,_4,_4,big,low,unacc
vhigh,low,_4,_4,big,med,acc
vhigh,low,_4,_4,big,high,acc
vhigh,low,_4,more,small,low,unacc
vhigh,low,_4,more,small,med,unacc
vhigh,low,_4,more,small,high,acc
vhigh,low,_4,more,med,low,unacc
vhigh,low,_4,more,med,med,acc
vhigh,low,_4,more,med,high,acc
vhigh,low,_4,more,big,low,unacc
vhigh,low,_4,more,big,med,acc
vhigh,low,_4,more,big,high,acc
vhigh,low,5more,_2,small,low,unacc
vhigh,low,5more,_2,small,med,unacc
vhigh,low,5more,_2,small,high,unacc
vhigh,low,5more,_2,med,low,unacc
vhigh,low,5more,_2,med,med,unacc
vhigh,low,5more,_2,med,high,unacc
vhigh,low,5more,_2,big,low,unacc
vhigh,low,5more,_2,big,med,unacc
vhigh,low,5more,_2,big,high,unacc
vhigh,low,5more,_4,small,low,unacc
vhigh,low,5more,_4,small,med,unacc
vhigh,low,5more,_4,small,high,acc
vhigh,low,5more,_4,med,low,unacc
vhigh,low,5more,_4,med,med,acc
vhigh,low,5more,_4,med,high,acc
vhigh,low,5more,_4,big,low,unacc
vhigh,low,5more,_4,big,med,acc
vhigh,low,5more,_4,big,high,acc
vhigh,low,5more,more,small,low,unacc
vhigh,low,5more,more,small,med,unacc
vhigh,low,5more,more,small,high,acc
vhigh,low,5more,more,med,low,unacc
vhigh,low,5more,more,med,med,acc
vhigh,low,5more,more,med,high,acc
vhigh,low,5more,more,big,low,unacc
vhigh,low,5more,more,big,med,acc
vhigh,low,5more,more,big,high,acc
high,vhigh,_2,_2,small,low,unacc
high,vhigh,_2,_2,small,med,unacc
high,vhigh,_2,_2,small,high,unacc
high,vhigh,_2,_2,med,low,unacc
high,vhigh,_2,_2,med,med,unacc
high,vhigh,_2,_2,med,high,unacc
high,vhigh,_2,_2,big,low,unacc
high,vhigh,_2,_2,big,med,unacc
high,vhigh,_2,_2,big,high,unacc
high,vhigh,_2,_4,small,low,unacc
high,vhigh,_2,_4,small,med,unacc
high,vhigh,_2,_4,small,high,unacc
high,vhigh,_2,_4,med,low,unacc
high,vhigh,_2,_4,med,med,unacc
high,vhigh,_2,_4,med,high,unacc
high,vhigh,_2,_4,big,low,unacc
high,vhigh,_2,_4,big,med,unacc
high,vhigh,_2,_4,big,high,unacc
high,vhigh,_2,more,small,low,unacc
high,vhigh,_2,more,small,med,unacc
high,vhigh,_2,more,small,high,unacc
high,vhigh,_2,more,med,low,unacc
high,vhigh,_2,more,med,med,unacc
high,vhigh,_2,more,med,high,unacc
high,vhigh,_2,more,big,low,unacc
high,vhigh,_2,more,big,med,unacc
high,vhigh,_2,more,big,high,unacc
high,vhigh,_3,_2,small,low,unacc
high,vhigh,_3,_2,small,med,unacc
high,vhigh,_3,_2,small,high,unacc
high,vhigh,_3,_2,med,low,unacc
high,vhigh,_3,_2,med,med,unacc
high,vhigh,_3,_2,med,high,unacc
high,vhigh,_3,_2,big,low,unacc
high,vhigh,_3,_2,big,med,unacc
high,vhigh,_3,_2,big,high,unacc
high,vhigh,_3,_4,small,low,unacc
high,vhigh,_3,_4,small,med,unacc
high,vhigh,_3,_4,small,high,unacc
high,vhigh,_3,_4,med,low,unacc
high,vhigh,_3,_4,med,med,unacc
high,vhigh,_3,_4,med,high,unacc
high,vhigh,_3,_4,big,low,unacc
high,vhigh,_3,_4,big,med,unacc
high,vhigh,_3,_4,big,high,unacc
high,vhigh,_3,more,small,low,unacc
high,vhigh,_3,more,small,med,unacc
high,vhigh,_3,more,small,high,unacc
high,vhigh,_3,more,med,low,unacc
high,vhigh,_3,more,med,med,unacc
high,vhigh,_3,more,med,high,unacc
high,vhigh,_3,more,big,low,unacc
high,vhigh,_3,more,big,med,unacc
high,vhigh,_3,more,big,high,unacc
high,vhigh,_4,_2,small,low,unacc
high,vhigh,_4,_2,small,med,unacc
high,vhigh,_4,_2,small,high,unacc
high,vhigh,_4,_2,med,low,unacc
high,vhigh,_4,_2,med,med,unacc
high,vhigh,_4,_2,med,high,unacc
high,vhigh,_4,_2,big,low,unacc
high,vhigh,_4,_2,big,med,unacc
high,vhigh,_4,_2,big,high,unacc
high,vhigh,_4,_4,small,low,unacc
high,vhigh,_4,_4,small,med,unacc
high,vhigh,_4,_4,small,high,unacc
high,vhigh,_4,_4,med,low,unacc
high,vhigh,_4,_4,med,med,unacc
high,vhigh,_4,_4,med,high,unacc
high,vhigh,_4,_4,big,low,unacc
high,vhigh,_4,_4,big,med,unacc
high,vhigh,_4,_4,big,high,unacc
high,vhigh,_4,more,small,low,unacc
high,vhigh,_4,more,small,med,unacc
high,vhigh,_4,more,small,high,unacc
high,vhigh,_4,more,med,low,unacc
high,vhigh,_4,more,med,med,unacc
high,vhigh,_4,more,med,high,unacc
high,vhigh,_4,more,big,low,unacc
high,vhigh,_4,more,big,med,unacc
high,vhigh,_4,more,big,high,unacc
high,vhigh,5more,_2,small,low,unacc
high,vhigh,5more,_2,small,med,unacc
high,vhigh,5more,_2,small,high,unacc
high,vhigh,5more,_2,med,low,unacc
high,vhigh,5more,_2,med,med,unacc
high,vhigh,5more,_2,med,high,unacc
high,vhigh,5more,_2,big,low,unacc
high,vhigh,5more,_2,big,med,unacc
high,vhigh,5more,_2,big,high,unacc
high,vhigh,5more,_4,small,low,unacc
high,vhigh,5more,_4,small,med,unacc
high,vhigh,5more,_4,small,high,unacc
high,vhigh,5more,_4,med,low,unacc
high,vhigh,5more,_4,med,med,unacc
high,vhigh,5more,_4,med,high,unacc
high,vhigh,5more,_4,big,low,unacc
high,vhigh,5more,_4,big,med,unacc
high,vhigh,5more,_4,big,high,unacc
high,vhigh,5more,more,small,low,unacc
high,vhigh,5more,more,small,med,unacc
high,vhigh,5more,more,small,high,unacc
high,vhigh,5more,more,med,low,unacc
high,vhigh,5more,more,med,med,unacc
high,vhigh,5more,more,med,high,unacc
high,vhigh,5more,more,big,low,unacc
high,vhigh,5more,more,big,med,unacc
high,vhigh,5more,more,big,high,unacc
high,high,_2,_2,small,low,unacc
high,high,_2,_2,small,med,unacc
high,high,_2,_2,small,high,unacc
high,high,_2,_2,med,low,unacc
high,high,_2,_2,med,med,unacc
high,high,_2,_2,med,high,unacc
high,high,_2,_2,big,low,unacc
high,high,_2,_2,big,med,unacc
high,high,_2,_2,big,high,unacc
