wifes_age,wifes_education,husbands_education,num_children,wifes_religion,wife_is_working,husbands_occupation,standard_of_living_index,media_exposure,class
24,_2,_3,3,_1,_1,_2,_3,_0,1
45,_1,_3,10,_1,_1,_3,_4,_0,1
43,_2,_3,7,_1,_1,_3,_4,_0,1
42,_3,_2,9,_1,_1,_3,_3,_0,1
36,_3,_3,8,_1,_1,_3,_2,_0,1
19,_4,_4,0,_1,_1,_3,_3,_0,1
38,_2,_3,6,_1,_1,_3,_2,_0,1
21,_3,_3,1,_1,_0,_3,_2,_0,1
27,_2,_3,3,_1,_1,_3,_4,_0,1
45,_1,_1,8,_1,_1,_2,_2,_1,1
38,_1,_3,2,_1,_0,_3,_3,_1,1
42,_1,_4,4,_1,_1,_1,_3,_0,1
44,_4,_4,1,_1,_0,_1,_4,_0,1
42,_2,_4,1,_1,_0,_3,_3,_0,1
38,_3,_4,2,_1,_1,_2,_3,_0,1
26,_2,_4,0,_1,_1,_4,_1,_0,1
48,_1,_1,7,_1,_1,_2,_4,_0,1
39,_2,_2,6,_1,_1,_2,_4,_0,1
37,_2,_2,8,_1,_1,_2,_3,_0,1
39,_2,_1,5,_1,_1,_2,_1,_1,1
26,_3,_4,1,_1,_0,_4,_1,_0,1
24,_3,_4,0,_1,_0,_3,_1,_0,1
46,_4,_4,1,_0,_1,_1,_4,_0,1
39,_4,_4,1,_1,_1,_1,_4,_0,1
48,_4,_4,5,_1,_1,_1,_4,_0,1
40,_2,_4,8,_1,_1,_3,_3,_0,1
38,_4,_4,1,_1,_0,_1,_4,_0,1
29,_4,_4,0,_1,_0,_1,_4,_0,1
24,_4,_4,0,_1,_0,_2,_2,_0,1
43,_1,_2,8,_1,_1,_2,_4,_0,1
31,_3,_4,2,_1,_1,_1,_4,_0,1
31,_4,_4,2,_1,_1,_3,_2,_0,1
26,_2,_4,0,_1,_0,_1,_2,_0,1
33,_2,_2,2,_1,_1,_3,_1,_0,1
24,_2,_3,1,_1,_1,_3,_3,_0,1
42,_1,_3,9,_1,_1,_3,_2,_1,1
43,_1,_2,8,_1,_0,_3,_1,_0,1
25,_3,_3,4,_1,_1,_3,_2,_0,1
42,_2,_2,3,_1,_1,_3,_4,_0,1
28,_2,_2,1,_1,_1,_2,_4,_0,1
28,_1,_1,3,_1,_1,_3,_1,_0,1
47,_2,_3,0,_1,_0,_1,_3,_0,1
48,_2,_4,2,_1,_1,_1,_3,_0,1
40,_4,_4,2,_0,_1,_1,_4,_0,1
28,_2,_2,1,_1,_1,_3,_2,_0,1
25,_1,_4,1,_1,_1,_2,_1,_0,1
32,_4,_4,2,_1,_1,_2,_3,_0,1
45,_4,_4,0,_1,_1,_2,_4,_0,1
26,_4,_4,1,_1,_1,_1,_4,_0,1
26,_4,_4,0,_1,_0,_1,_4,_0,1
31,_4,_4,0,_1,_0,_1,_4,_0,1
49,_4,_4,7,_0,_1,_2,_4,_0,1
40,_3,_4,8,_1,_1,_3,_3,_0,1
34,_4,_4,1,_0,_0,_2,_3,_0,1
36,_2,_4,5,_1,_1,_2,_3,_0,1
20,_2,_2,2,_1,_1,_2,_2,_1,1
43,_4,_4,5,_1,_0,_1,_4,_0,1
37,_3,_4,7,_1,_1,_2,_1,_0,1
21,_2,_3,0,_1,_1,_3,_4,_0,1
49,_4,_4,6,_1,_1,_1,_2,_0,1
42,_3,_3,10,_1,_1,_3,_3,_0,1
20,_2,_3,1,_1,_1,_2,_3,_0,1
47,_1,_2,2,_1,_0,_1,_3,_0,1
22,_2,_3,1,_1,_1,_2,_1,_0,1
27,_2,_4,1,_1,_0,_1,_3,_0,1
24,_2,_4,1,_1,_1,_3,_1,_0,1
44,_4,_2,8,_1,_1,_3,_3,_0,1
30,_2,_3,3,_1,_1,_3,_1,_0,1
23,_3,_4,2,_1,_1,_3,_4,_0,1
25,_4,_4,1,_1,_0,_3,_3,_0,1
47,_2,_3,4,_1,_1,_2,_3,_0,1
48,_2,_3,8,_1,_1,_1,_4,_0,1
29,_2,_3,1,_1,_1,_1,_1,_0,1
29,_2,_3,1,_1,_1,_1,_2,_0,1
21,_3,_4,0,_1,_1,_2,_3,_0,1
21,_3,_4,1,_1,_1,_2,_3,_0,1
29,_4,_4,0,_1,_0,_2,_4,_0,1
45,_3,_4,3,_1,_1,_1,_4,_0,1
33,_2,_3,2,_1,_1,_3,_2,_0,1
38,_4,_4,1,_1,_0,_1,_4,_0,1
24,_4,_4,0,_0,_1,_1,_4,_0,1
49,_4,_4,6,_0,_0,_1,_4,_0,1
24,_2,_4,1,_1,_0,_4,_4,_0,1
28,_4,_4,0,_0,_0,_1,_4,_0,1
30,_4,_4,2,_1,_1,_1,_4,_0,1
33,_4,_4,2,_1,_1,_1,_4,_0,1
25,_4,_4,1,_1,_1,_1,_3,_0,1
35,_4,_4,3,_0,_1,_1,_4,_0,1
27,_2,_4,4,_1,_1,_1,_4,_0,1
24,_2,_2,3,_1,_0,_2,_1,_0,1
25,_2,_3,0,_1,_1,_2,_1,_0,1
46,_2,_4,6,_1,_1,_1,_4,_0,1
26,_2,_2,3,_1,_1,_2,_1,_0,1
38,_2,_2,1,_1,_0,_3,_2,_0,1
47,_1,_2,3,_1,_1,_1,_3,_0,1
41,_1,_3,10,_1,_1,_2,_3,_1,1
41,_2,_3,1,_1,_0,_2,_3,_0,1
28,_4,_4,5,_1,_1,_2,_1,_0,1
17,_2,_2,3,_1,_1,_3,_1,_0,1
27,_2,_3,5,_1,_1,_2,_1,_0,1
27,_1,_2,4,_1,_1,_3,_1,_1,1
19,_2,_3,0,_1,_0,_2,_2,_0,1
27,_2,_4,3,_1,_0,_3,_2,_0,1
26,_4,_3,4,_1,_1,_2,_3,_0,1
23,_2,_4,2,_1,_1,_3,_3,_0,1
40,_3,_3,3,_1,_1,_3,_2,_0,1
22,_4,_4,0,_1,_1,_1,_1,_0,1
44,_3,_4,4,_1,_0,_1,_3,_0,1
29,_2,_3,2,_1,_1,_3,_1,_0,1
26,_2,_3,3,_1,_1,_3,_1,_0,1
45,_4,_4,1,_1,_0,_3,_3,_0,1
32,_3,_3,7,_1,_0,_2,_3,_0,1
21,_4,_4,1,_1,_1,_1,_4,_0,1
31,_2,_2,4,_1,_1,_3,_3,_0,1
21,_3,_4,0,_1,_1,_1,_3,_0,1
37,_4,_4,1,_1,_1,_1,_4,_0,1
34,_4,_4,3,_0,_0,_3,_3,_0,1
44,_3,_4,1,_1,_1,_1,_3,_0,1
49,_4,_3,5,_1,_1,_2,_3,_0,1
26,_2,_3,2,_1,_1,_3,_3,_0,1
38,_1,_2,1,_1,_1,_2,_4,_1,1
36,_2,_3,5,_1,_1,_2,_3,_0,1
26,_3,_4,2,_1,_1,_3,_3,_0,1
20,_2,_3,1,_0,_1,_3,_2,_0,1
44,_2,_1,3,_1,_0,_3,_2,_0,1
31,_3,_4,2,_1,_1,_1,_2,_1,1
45,_4,_4,1,_1,_1,_1,_3,_0,1
36,_2,_3,2,_1,_1,_3,_2,_1,1
43,_1,_3,2,_1,_0,_2,_2,_1,1
25,_3,_4,0,_1,_1,_1,_3,_0,1
48,_3,_4,3,_1,_1,_3,_1,_0,1
30,_4,_4,0,_0,_0,_1,_3,_0,1
48,_1,_2,8,_1,_1,_3,_1,_0,1
28,_3,_4,1,_1,_1,_3,_1,_1,1
26,_4,_4,1,_1,_1,_1,_3,_0,1
26,_3,_3,3,_1,_0,_2,_4,_0,1
24,_4,_4,2,_1,_1,_3,_3,_0,1
21,_3,_3,2,_1,_1,_2,_2,_0,1
30,_4,_4,2,_0,_1,_3,_1,_0,1
20,_4,_4,1,_1,_1,_1,_4,_0,1
33,_4,_4,2,_1,_1,_1,_3,_0,1
30,_4,_4,0,_0,_0,_3,_3,_0,1
47,_4,_4,1,_1,_0,_1,_3,_0,1
35,_4,_4,2,_0,_1,_3,_3,_0,1
30,_2,_4,2,_1,_1,_3,_4,_0,1
33,_4,_4,3,_1,_1,_1,_4,_0,1
45,_4,_4,4,_1,_1,_2,_3,_0,1
41,_4,_4,2,_1,_1,_1,_4,_0,1
32,_4,_4,1,_1,_0,_1,_3,_0,1
43,_4,_4,5,_1,_1,_1,_4,_0,1
44,_4,_4,3,_1,_1,_2,_4,_0,1
21,_1,_3,4,_1,_1,_3,_2,_0,1
44,_3,_4,2,_1,_1,_1,_4,_1,1
23,_4,_4,2,_1,_1,_2,_4,_0,1
47,_1,_2,4,_1,_1,_2,_2,_0,1
47,_1,_1,7,_1,_1,_2,_3,_1,1
35,_4,_4,2,_1,_0,_2,_4,_0,1
32,_2,_4,4,_1,_1,_3,_2,_0,1
45,_1,_4,5,_1,_1,_1,_2,_1,1
22,_2,_2,2,_1,_1,_3,_1,_0,1
23,_1,_1,3,_1,_1,_2,_1,_1,1
30,_4,_4,0,_1,_0,_1,_4,_0,1
44,_1,_3,0,_1,_1,_2,_3,_0,1
40,_3,_3,1,_1,_0,_3,_3,_0,1
34,_4,_4,4,_1,_1,_2,_3,_0,1
37,_3,_4,1,_1,_1,_2,_4,_0,1
49,_3,_4,5,_1,_1,_1,_4,_0,1
26,_4,_4,1,_1,_1,_1,_4,_0,1
22,_4,_4,0,_1,_1,_2,_4,_0,1
20,_3,_4,0,_1,_0,_2,_4,_0,1
47,_4,_4,4,_1,_1,_1,_4,_0,1
49,_2,_2,8,_1,_0,_3,_1,_0,1
22,_2,_4,1,_1,_1,_2,_4,_0,1
22,_3,_3,2,_1,_1,_3,_4,_0,1
25,_3,_2,2,_1,_1,_3,_2,_0,1
32,_2,_4,0,_1,_0,_3,_4,_0,1
28,_4,_4,0,_0,_1,_1,_3,_0,1
30,_2,_4,4,_1,_0,_1,_4,_0,1
45,_2,_4,2,_1,_0,_2,_4,_0,1
49,_2,_1,10,_1,_0,_2,_4,_0,1
34,_4,_4,2,_1,_0,_1,_4,_0,1
25,_2,_4,1,_1,_1,_2,_2,_0,1
42,_1,_3,12,_1,_1,_3,_3,_0,1
48,_2,_1,3,_1,_0,_4,_3,_0,1
35,_3,_4,5,_1,_0,_2,_2,_0,1
33,_2,_3,1,_1,_1,_3,_4,_0,1
20,_2,_4,0,_1,_1,_3,_2,_0,1
36,_2,_3,4,_1,_1,_3,_1,_1,1
19,_3,_3,2,_1,_1,_3,_2,_0,1
27,_3,_2,3,_1,_1,_3,_2,_0,1
30,_1,_2,4,_1,_1,_4,_1,_0,1
31,_3,_4,3,_1,_0,_3,_2,_0,1
44,_1,_1,11,_1,_1,_4,_1,_1,1
24,_3,_3,2,_1,_1,_3,_3,_0,1
18,_3,_4,0,_1,_0,_3,_1,_0,1
45,_1,_2,6,_1,_1,_3,_3,_1,1
25,_2,_2,3,_1,_0,_3,_1,_0,1
36,_3,_4,6,_1,_1,_2,_4,_0,1
30,_1,_1,5,_1,_1,_2,_2,_0,1
32,_2,_4,2,_1,_1,_3,_3,_0,1
42,_1,_4,11,_0,_1,_2,_2,_1,1
22,_2,_4,0,_1,_1,_3,_3,_0,1
36,_2,_4,2,_1,_0,_2,_4,_0,1
27,_2,_3,2,_1,_1,_3,_3,_0,1
40,_3,_4,1,_1,_1,_1,_2,_0,1
22,_2,_3,2,_1,_1,_3,_1,_0,1
26,_2,_4,0,_1,_1,_3,_1,_0,1
31,_3,_4,0,_1,_0,_2,_3,_0,1
32,_4,_4,1,_1,_1,_1,_4,_0,1
34,_2,_3,3,_1,_0,_3,_2,_0,1
40,_3,_3,1,_0,_1,_3,_4,_0,1
45,_1,_2,1,_1,_0,_3,_3,_0,1
26,_3,_4,3,_1,_1,_3,_2,_0,1
48,_1,_3,5,_1,_1,_3,_2,_0,1
43,_1,_3,8,_1,_1,_3,_1,_0,1
27,_3,_4,2,_1,_0,_2,_2,_0,1
42,_3,_2,1,_1,_1,_3,_3,_0,1
34,_3,_2,8,_1,_0,_2,_3,_1,1
32,_3,_2,4,_1,_1,_2,_2,_1,1
31,_3,_3,2,_1,_0,_2,_3,_0,1
22,_2,_3,1,_1,_1,_3,_3,_0,1
27,_3,_4,0,_1,_1,_3,_3,_0,1
37,_1,_2,2,_1,_1,_2,_2,_1,1
22,_1,_2,0,_1,_1,_2,_4,_0,1
47,_4,_4,4,_1,_1,_1,_4,_0,1
32,_4,_4,4,_1,_0,_1,_3,_0,1
37,_3,_3,2,_1,_1,_1,_4,_0,1
45,_1,_3,1,_1,_1,_2,_3,_1,1
47,_1,_4,8,_1,_1,_3,_3,_0,1
28,_3,_4,0,_1,_1,_3,_2,_0,1
48,_1,_3,4,_1,_1,_3,_4,_1,1
26,_2,_4,1,_1,_1,_1,_3,_0,1
21,_3,_4,0,_1,_0,_3,_1,_0,1
20,_2,_3,1,_1,_1,_2,_4,_0,1
39,_1,_1,5,_1,_0,_3,_1,_1,1
27,_2,_3,1,_1,_0,_3,_4,_0,1
37,_2,_3,5,_1,_0,_3,_2,_0,1
24,_4,_4,1,_1,_1,_3,_3,_0,1
39,_3,_3,6,_1,_1,_3,_3,_0,1
20,_3,_3,1,_1,_1,_2,_3,_0,1
19,_3,_4,1,_1,_1,_2,_3,_0,1
40,_3,_3,4,_1,_1,_2,_2,_0,1
41,_1,_4,4,_1,_1,_3,_3,_0,1
22,_4,_4,2,_1,_1,_1,_3,_0,1
32,_3,_4,4,_1,_1,_1,_4,_0,1
34,_4,_4,2,_0,_1,_1,_4,_0,1
34,_4,_4,2,_1,_0,_1,_3,_0,1
23,_4,_4,2,_1,_1,_1,_4,_0,1
27,_4,_4,1,_1,_1,_1,_2,_0,1
46,_3,_2,11,_1,_0,_2,_2,_1,1
34,_4,_4,3,_0,_1,_1,_2,_0,1
33,_4,_4,5,_1,_1,_3,_3,_0,1
25,_3,_3,1,_1,_1,_3,_2,_0,1
26,_4,_4,1,_1,_0,_1,_4,_0,1
48,_1,_3,4,_1,_1,_3,_3,_1,1
36,_4,_4,2,_1,_1,_3,_3,_0,1
38,_3,_4,2,_0,_1,_2,_4,_0,1
44,_1,_2,7,_1,_1,_3,_4,_0,1
44,_2,_2,1,_1,_0,_3,_2,_0,1
39,_3,_3,1,_0,_1,_3,_4,_0,1
47,_1,_2,7,_1,_0,_3,_2,_0,1
43,_1,_3,5,_1,_0,_3,_2,_0,1
29,_3,_3,3,_1,_0,_2,_4,_0,1
22,_3,_3,0,_1,_1,_2,_2,_0,1
31,_2,_4,5,_1,_1,_3,_2,_0,1
22,_4,_4,0,_1,_1,_1,_3,_0,1
45,_3,_4,6,_1,_1,_2,_4,_0,1
42,_3,_4,10,_1,_0,_3,_2,_0,1
38,_3,_3,7,_1,_1,_3,_1,_0,1
47,_1,_1,6,_1,_0,_3,_1,_0,1
30,_4,_4,2,_1,_1,_1,_4,_0,1
28,_3,_4,1,_1,_1,_3,_4,_0,1
25,_3,_4,1,_1,_1,_2,_1,_0,1
49,_2,_4,6,_0,_1,_2,_3,_0,1
23,_3,_4,2,_1,_0,_2,_3,_0,1
35,_3,_4,1,_0,_1,_2,_3,_0,1
47,_2,_1,5,_0,_1,_2,_4,_0,1
35,_2,_3,0,_1,_1,_2,_4,_0,1
44,_3,_4,6,_1,_1,_3,_4,_0,1
48,_4,_4,3,_1,_1,_2,_4,_0,1
43,_2,_3,6,_1,_0,_3,_3,_0,1
21,_2,_4,2,_1,_1,_3,_1,_0,1
22,_4,_4,0,_1,_1,_1,_4,_0,1
41,_3,_3,5,_1,_1,_3,_4,_0,1
29,_2,_4,2,_1,_0,_4,_4,_1,1
44,_4,_4,5,_0,_1,_2,_4,_0,1
22,_4,_4,0,_1,_0,_1,_4,_0,1
23,_2,_4,4,_1,_1,_3,_3,_0,1
22,_2,_1,0,_1,_1,_3,_2,_0,1
35,_1,_3,0,_1,_1,_2,_2,_1,1
24,_4,_4,1,_1,_1,_2,_2,_0,1
36,_4,_4,4,_1,_1,_1,_4,_0,1
47,_1,_2,2,_1,_1,_2,_4,_0,1
40,_4,_4,3,_1,_1,_3,_4,_0,1
29,_4,_4,1,_1,_1,_1,_3,_0,1
49,_3,_4,6,_1,_1,_1,_4,_0,1
49,_3,_4,9,_1,_1,_1,_4,_0,1
47,_4,_4,2,_1,_1,_1,_4,_0,1
28,_4,_4,3,_0,_1,_1,_4,_0,1
26,_4,_4,1,_1,_1,_1,_4,_0,1
29,_1,_2,7,_1,_1,_2,_4,_0,1
29,_4,_2,0,_1,_0,_2,_2,_0,1
25,_3,_3,1,_1,_1,_3,_4,_0,1
24,_2,_4,2,_1,_1,_3,_4,_0,1
23,_4,_4,1,_1,_0,_2,_4,_0,1
23,_4,_4,2,_1,_0,_3,_3,_0,1
44,_1,_2,2,_1,_1,_2,_4,_0,1
39,_3,_4,6,_1,_1,_1,_4,_0,1
21,_3,_3,0,_1,_1,_2,_2,_0,1
22,_3,_4,2,_1,_1,_2,_3,_0,1
47,_3,_4,3,_1,_1,_2,_3,_0,1
36,_3,_3,2,_1,_0,_2,_4,_0,1
25,_1,_4,2,_1,_0,_3,_3,_1,1
40,_4,_4,2,_1,_1,_3,_4,_0,1
36,_2,_2,0,_0,_0,_3,_3,_0,1
37,_2,_3,5,_0,_0,_2,_4,_0,1
28,_1,_4,2,_1,_0,_2,_3,_0,1
30,_3,_3,5,_1,_0,_3,_4,_0,1
16,_3,_4,1,_1,_1,_3,_3,_0,1
32,_2,_3,4,_0,_1,_2,_4,_0,1
40,_4,_4,3,_0,_1,_3,_4,_0,1
40,_1,_1,2,_1,_0,_3,_4,_0,1
45,_3,_4,2,_0,_1,_1,_4,_0,1
21,_1,_3,0,_1,_0,_3,_4,_1,1
28,_4,_4,1,_0,_1,_1,_3,_0,1
25,_4,_4,1,_0,_1,_2,_3,_0,1
44,_1,_3,4,_1,_1,_3,_3,_1,1
35,_4,_4,2,_0,_1,_3,_4,_0,1
49,_4,_4,4,_1,_1,_3,_4,_0,1
39,_3,_4,1,_0,_1,_3,_4,_0,1
32,_3,_4,1,_0,_1,_2,_4,_0,1
35,_1,_2,0,_1,_0,_4,_4,_0,1
21,_1,_2,1,_1,_0,_3,_4,_0,1
47,_4,_4,1,_0,_1,_1,_4,_0,1
27,_4,_4,1,_0,_1,_3,_4,_0,1
31,_2,_2,8,_1,_1,_2,_2,_1,1
34,_4,_3,0,_0,_0,_3,_3,_0,1
30,_4,_4,3,_1,_0,_2,_4,_0,1
25,_4,_4,0,_1,_0,_2,_4,_0,1
28,_3,_4,3,_1,_1,_2,_1,_0,1
30,_2,_3,4,_1,_0,_3,_2,_0,1
42,_3,_3,8,_1,_1,_4,_3,_0,1
23,_4,_4,0,_0,_1,_2,_4,_0,1
45,_3,_4,3,_0,_1,_3,_4,_0,1
21,_4,_4,1,_1,_1,_3,_3,_0,1
28,_4,_4,1,_0,_1,_2,_4,_0,1
33,_4,_4,1,_0,_0,_3,_4,_0,1
32,_1,_2,4,_1,_1,_3,_2,_1,1
25,_2,_2,3,_1,_1,_3,_3,_0,1
25,_3,_3,1,_1,_1,_3,_1,_0,1
19,_2,_2,2,_1,_1,_3,_1,_0,1
40,_1,_2,6,_1,_1,_3,_1,_1,1
24,_2,_2,2,_1,_1,_3,_1,_1,1
32,_2,_2,1,_1,_1,_2,_1,_0,1
35,_2,_3,8,_1,_1,_3,_2,_0,1
27,_2,_2,1,_1,_0,_3,_2,_1,1
23,_2,_4,2,_1,_1,_1,_4,_0,1
22,_2,_4,4,_1,_1,_3,_4,_0,1
49,_2,_3,0,_1,_1,_1,_2,_0,1
25,_2,_3,0,_1,_1,_2,_4,_0,1
18,_3,_4,1,_1,_1,_3,_1,_0,1
43,_3,_3,4,_1,_1,_2,_4,_0,1
37,_1,_3,0,_1,_1,_3,_4,_0,1
30,_2,_3,2,_1,_0,_2,_4,_0,1
29,_3,_2,0,_1,_1,_2,_2,_0,1
20,_2,_3,3,_1,_1,_3,_4,_0,1
42,_3,_3,3,_1,_0,_2,_4,_0,1
23,_4,_4,1,_1,_1,_2,_3,_0,1
34,_2,_3,7,_1,_0,_3,_3,_0,1
23,_3,_3,6,_1,_1,_3,_3,_0,1
38,_3,_3,5,_1,_1,_1,_4,_0,1
37,_2,_3,4,_1,_1,_2,_3,_0,1
17,_2,_3,1,_1,_1,_3,_2,_0,1
39,_3,_4,3,_1,_1,_1,_4,_0,1
49,_1,_3,0,_1,_1,_3,_3,_1,1
23,_3,_3,2,_1,_1,_2,_2,_0,1
40,_3,_3,3,_1,_1,_2,_2,_1,1
32,_2,_4,5,_1,_1,_2,_3,_0,1
18,_2,_3,1,_1,_1,_2,_3,_0,1
46,_1,_2,8,_1,_1,_3,_3,_1,1
37,_3,_3,6,_1,_1,_2,_2,_0,1
38,_2,_4,5,_0,_1,_2,_2,_0,1
37,_2,_3,2,_0,_0,_3,_3,_0,1
25,_2,_3,1,_1,_0,_2,_1,_0,1
38,_2,_4,5,_1,_1,_3,_3,_0,1
39,_4,_4,2,_1,_0,_1,_4,_0,1
44,_4,_4,3,_1,_0,_1,_4,_1,1
19,_4,_4,0,_0,_1,_3,_4,_0,1
28,_2,_4,1,_1,_0,_3,_4,_0,1
20,_2,_3,1,_1,_1,_3,_4,_0,1
33,_4,_4,0,_1,_0,_3,_3,_0,1
33,_4,_4,5,_1,_1,_3,_4,_0,1
47,_1,_4,6,_1,_1,_1,_4,_0,1
25,_3,_3,0,_1,_1,_3,_4,_0,1
29,_4,_4,0,_1,_0,_2,_4,_0,1
37,_4,_4,2,_0,_1,_1,_4,_0,1
49,_1,_3,6,_1,_1,_2,_4,_0,1
48,_1,_1,8,_1,_0,_2,_2,_1,1
19,_2,_2,0,_1,_1,_2,_2,_0,1
46,_1,_2,3,_1,_1,_2,_1,_1,1
39,_1,_2,2,_1,_1,_3,_1,_1,1
30,_3,_4,5,_1,_1,_1,_4,_0,1
40,_2,_2,8,_1,_1,_2,_2,_0,1
43,_1,_2,1,_1,_1,_3,_4,_1,1
29,_3,_4,4,_1,_0,_1,_3,_0,1
23,_3,_3,2,_1,_1,_3,_3,_0,1
24,_2,_2,3,_1,_1,_2,_4,_0,1
47,_3,_3,2,_1,_1,_2,_4,_0,1
35,_3,_3,2,_1,_0,_2,_2,_0,1
19,_3,_3,1,_1,_1,_2,_4,_0,1
45,_2,_3,4,_1,_0,_2,_4,_0,1
42,_2,_4,2,_1,_1,_3,_4,_0,1
47,_1,_1,1,_1,_1,_3,_4,_0,1
25,_2,_2,2,_1,_1,_3,_1,_0,1
20,_2,_3,3,_1,_1,_3,_4,_0,1
33,_3,_3,6,_1,_1,_3,_4,_0,2
46,_4,_3,5,_1,_1,_1,_4,_0,2
35,_4,_4,4,_1,_1,_1,_4,_0,2
26,_4,_4,2,_1,_0,_1,_4,_0,2
36,_3,_3,5,_1,_0,_1,_3,_0,2
37,_3,_4,3,_1,_1,_1,_3,_0,2
44,_2,_4,4,_1,_1,_3,_3,_0,2
32,_4,_4,2,_1,_1,_1,_4,_0,2
25,_2,_4,6,_1,_1,_3,_4,_0,2
42,_2,_3,7,_1,_1,_3,_4,_0,2
30,_4,_4,2,_0,_0,_1,_4,_0,2
39,_4,_4,4,_1,_1,_1,_4,_0,2
26,_1,_1,2,_1,_1,_3,_4,_0,2
30,_2,_4,3,_1,_1,_3,_4,_0,2
38,_4,_4,4,_0,_0,_1,_2,_0,2
23,_4,_4,1,_1,_1,_1,_2,_0,2
18,_3,_4,1,_1,_1,_3,_4,_0,2
25,_3,_4,3,_1,_1,_2,_3,_0,2
37,_4,_4,2,_1,_0,_3,_3,_0,2
20,_3,_4,1,_1,_1,_3,_2,_0,2
45,_4,_4,7,_1,_1,_1,_4,_0,2
28,_2,_1,2,_1,_0,_3,_3,_0,2
33,_2,_2,3,_1,_1,_2,_3,_0,2
28,_2,_3,2,_1,_1,_3,_3,_0,2
30,_2,_4,1,_1,_0,_3,_4,_0,2
32,_4,_4,4,_1,_1,_2,_4,_0,2
48,_4,_3,7,_1,_0,_2,_4,_0,2
46,_4,_4,2,_1,_0,_1,_4,_0,2
32,_4,_4,2,_0,_0,_1,_4,_0,2
49,_4,_4,10,_1,_1,_1,_4,_0,2
33,_2,_2,6,_1,_0,_3,_4,_0,2
39,_4,_4,3,_1,_1,_1,_4,_0,2
35,_4,_4,5,_0,_0,_1,_4,_0,2
36,_4,_4,3,_0,_1,_1,_3,_0,2
20,_3,_4,1,_1,_1,_2,_4,_0,2
23,_4,_4,1,_1,_1,_3,_4,_0,2
26,_2,_4,2,_1,_1,_1,_3,_0,2
25,_3,_3,1,_1,_1,_3,_1,_0,2
31,_4,_4,1,_1,_1,_1,_4,_0,2
36,_4,_4,2,_1,_1,_2,_4,_0,2
32,_3,_3,2,_1,_0,_3,_4,_0,2
36,_4,_4,3,_1,_1,_1,_4,_0,2
40,_4,_4,3,_1,_1,_1,_4,_0,2
46,_4,_4,4,_1,_1,_1,_4,_0,2
42,_4,_4,8,_0,_1,_1,_4,_0,2
39,_4,_4,4,_1,_0,_1,_4,_0,2
34,_4,_4,2,_1,_1,_1,_4,_0,2
36,_4,_4,3,_1,_1,_1,_4,_0,2
37,_4,_4,3,_1,_1,_1,_4,_0,2
36,_4,_4,4,_0,_1,_1,_4,_0,2
38,_4,_4,2,_1,_1,_1,_4,_0,2
27,_3,_3,1,_0,_0,_2,_4,_0,2
37,_4,_3,8,_1,_1,_1,_4,_0,2
24,_1,_4,1,_1,_0,_4,_2,_1,2
42,_2,_4,8,_1,_1,_1,_4,_0,2
31,_4,_4,3,_0,_0,_4,_4,_0,2
34,_2,_3,2,_1,_1,_3,_3,_0,2
34,_4,_4,4,_1,_1,_3,_3,_0,2
36,_4,_4,4,_0,_0,_1,_4,_0,2
47,_4,_4,8,_1,_1,_1,_4,_0,2
34,_4,_4,3,_1,_1,_1,_4,_0,2
44,_4,_4,6,_0,_1,_1,_3,_0,2
21,_4,_4,1,_1,_1,_1,_4,_0,2
42,_4,_4,6,_1,_1,_1,_3,_0,2
44,_4,_4,4,_1,_0,_2,_3,_0,2
19,_4,_4,1,_1,_1,_2,_3,_0,2
35,_1,_3,7,_1,_0,_2,_3,_1,2
24,_4,_4,1,_1,_1,_3,_2,_0,2
32,_3,_4,7,_0,_1,_1,_3,_0,2
31,_3,_3,2,_1,_0,_3,_3,_0,2
47,_3,_4,11,_1,_0,_2,_3,_0,2
38,_4,_4,6,_1,_0,_3,_3,_0,2
