Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes
KDD98 Multiclass 3,RFA_13,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_13,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_13,Twoing,0,0,2
KDD98 Multiclass 3,RFA_14,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_14,LS Squared Gini,2,2,0
KDD98 Multiclass 3,RFA_14,Twoing,0,0,2
KDD98 Multiclass 3,RFA_15,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_15,LS Squared Gini,1,1,0
KDD98 Multiclass 3,RFA_15,Twoing,0,0,2
KDD98 Multiclass 3,RFA_16,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_16,LS Squared Gini,2,2,0
KDD98 Multiclass 3,RFA_16,Twoing,0,0,2
KDD98 Multiclass 3,RFA_17,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_17,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_17,Twoing,0,0,2
KDD98 Multiclass 3,RFA_18,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_18,LS Squared Gini,1,1,0
KDD98 Multiclass 3,RFA_18,Twoing,0,0,2
KDD98 Multiclass 3,RFA_19,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_19,LS Squared Gini,1,1,0
KDD98 Multiclass 3,RFA_19,Twoing,0,0,2
KDD98 Multiclass 3,RFA_2,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_2,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_2,Twoing,0,0,2
KDD98 Multiclass 3,RFA_20,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_20,LS Squared Gini,2,2,0
KDD98 Multiclass 3,RFA_20,Twoing,1,1,2
KDD98 Multiclass 3,RFA_21,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_21,LS Squared Gini,2,2,0
KDD98 Multiclass 3,RFA_21,Twoing,0,0,2
KDD98 Multiclass 3,RFA_22,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_22,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_22,Twoing,0,0,2
KDD98 Multiclass 3,RFA_23,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_23,LS Squared Gini,1,1,0
KDD98 Multiclass 3,RFA_23,Twoing,0,0,2
KDD98 Multiclass 3,RFA_24,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_24,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_24,Twoing,0,0,2
KDD98 Multiclass 3,RFA_2A,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_2A,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_2A,Twoing,2,2,2
KDD98 Multiclass 3,RFA_3,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_3,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_3,Twoing,0,0,2
KDD98 Multiclass 3,RFA_4,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_4,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_4,Twoing,0,0,2
KDD98 Multiclass 3,RFA_5,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_5,LS Squared Gini,0,0,0
KDD98 Multiclass 3,RFA_5,Twoing,1,1,2
KDD98 Multiclass 3,RFA_6,LS Chi Square,2,2,1
KDD98 Multiclass 3,RFA_6,LS Squared Gini,1,1,0
KDD98 Multiclass 3,RFA_6,Twoing,0,0,2
KDD98 Multiclass 3,RFA_7,LS Chi Square,1,1,1
KDD98 Multiclass 3,RFA_7,LS Squared Gini,1,1,0
KDD98 Multiclass 3,RFA_7,Twoing,0,0,2
KDD98 Multiclass 3,RFA_8,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_8,LS Squared Gini,2,2,0
KDD98 Multiclass 3,RFA_8,Twoing,1,1,2
KDD98 Multiclass 3,RFA_9,LS Chi Square,0,0,1
KDD98 Multiclass 3,RFA_9,LS Squared Gini,2,2,0
KDD98 Multiclass 3,RFA_9,Twoing,0,0,2
KDD98 Multiclass 3,STATE,LS Chi Square,0,0,1
KDD98 Multiclass 3,STATE,LS Squared Gini,0,0,0
KDD98 Multiclass 3,STATE,Twoing,2,2,2
KDD98 Multiclass 3,STEREO,LS Chi Square,0,0,1
KDD98 Multiclass 3,STEREO,LS Squared Gini,0,0,2
KDD98 Multiclass 3,STEREO,Twoing,0,0,0
KDD98 Multiclass 3,WALKER,LS Chi Square,0,0,1
KDD98 Multiclass 3,WALKER,LS Squared Gini,0,0,2
KDD98 Multiclass 3,WALKER,Twoing,0,0,0
KDD98 Multiclass 5,AGEFLAG,LS Chi Square,1,1,1
KDD98 Multiclass 5,AGEFLAG,LS Squared Gini,0,0,0
KDD98 Multiclass 5,AGEFLAG,Twoing,0,0,2
KDD98 Multiclass 5,BIBLE,LS Chi Square,1,1,1
KDD98 Multiclass 5,BIBLE,LS Squared Gini,0,0,0
KDD98 Multiclass 5,BIBLE,Twoing,2,2,2
KDD98 Multiclass 5,CATLG,LS Chi Square,1,1,1
KDD98 Multiclass 5,CATLG,LS Squared Gini,0,0,0
KDD98 Multiclass 5,CATLG,Twoing,2,2,2
KDD98 Multiclass 5,CDPLAY,LS Chi Square,1,1,1
KDD98 Multiclass 5,CDPLAY,LS Squared Gini,0,0,0
KDD98 Multiclass 5,CDPLAY,Twoing,2,2,2
KDD98 Multiclass 5,COLLECT1,LS Chi Square,0,0,1
KDD98 Multiclass 5,COLLECT1,LS Squared Gini,0,0,2
KDD98 Multiclass 5,COLLECT1,Twoing,0,0,0
KDD98 Multiclass 5,CRAFTS,LS Chi Square,1,1,1
KDD98 Multiclass 5,CRAFTS,LS Squared Gini,0,0,0
KDD98 Multiclass 5,CRAFTS,Twoing,2,2,2
KDD98 Multiclass 5,DOMAIN,LS Chi Square,1,1,1
KDD98 Multiclass 5,DOMAIN,LS Squared Gini,0,0,0
KDD98 Multiclass 5,DOMAIN,Twoing,0,0,2
KDD98 Multiclass 5,FISHER,LS Chi Square,1,1,1
KDD98 Multiclass 5,FISHER,LS Squared Gini,0,0,0
KDD98 Multiclass 5,FISHER,Twoing,2,2,2
KDD98 Multiclass 5,GARDENIN,LS Chi Square,1,1,1
KDD98 Multiclass 5,GARDENIN,LS Squared Gini,0,0,0
KDD98 Multiclass 5,GARDENIN,Twoing,2,2,2
KDD98 Multiclass 5,GENDER,LS Chi Square,0,0,1
KDD98 Multiclass 5,GENDER,LS Squared Gini,0,0,2
KDD98 Multiclass 5,GENDER,Twoing,0,0,0
KDD98 Multiclass 5,GEOCODE2,LS Chi Square,1,1,1
KDD98 Multiclass 5,GEOCODE2,LS Squared Gini,0,0,0
KDD98 Multiclass 5,GEOCODE2,Twoing,1,1,2
KDD98 Multiclass 5,HOMEOWNR,LS Chi Square,1,1,1
KDD98 Multiclass 5,HOMEOWNR,LS Squared Gini,0,0,0
KDD98 Multiclass 5,HOMEOWNR,Twoing,2,2,2
KDD98 Multiclass 5,OSOURCE,LS Chi Square,0,0,1
KDD98 Multiclass 5,OSOURCE,LS Squared Gini,0,0,0
KDD98 Multiclass 5,OSOURCE,Twoing,2,2,2
KDD98 Multiclass 5,PCOWNERS,LS Chi Square,1,1,1
KDD98 Multiclass 5,PCOWNERS,LS Squared Gini,0,0,0
KDD98 Multiclass 5,PCOWNERS,Twoing,2,2,2
KDD98 Multiclass 5,PEPSTRFL,LS Chi Square,1,1,1
KDD98 Multiclass 5,PEPSTRFL,LS Squared Gini,0,0,0
KDD98 Multiclass 5,PEPSTRFL,Twoing,2,2,2
KDD98 Multiclass 5,PETS,LS Chi Square,1,1,1
KDD98 Multiclass 5,PETS,LS Squared Gini,0,0,0
KDD98 Multiclass 5,PETS,Twoing,2,2,2
KDD98 Multiclass 5,RECINHSE,LS Chi Square,1,1,1
KDD98 Multiclass 5,RECINHSE,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RECINHSE,Twoing,2,2,2
KDD98 Multiclass 5,RFA_10,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_10,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_10,Twoing,0,0,2
KDD98 Multiclass 5,RFA_11,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_11,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_11,Twoing,1,1,2
KDD98 Multiclass 5,RFA_12,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_12,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_12,Twoing,2,2,2
KDD98 Multiclass 5,RFA_13,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_13,LS Squared Gini,2,2,0
KDD98 Multiclass 5,RFA_13,Twoing,0,0,2
KDD98 Multiclass 5,RFA_14,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_14,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_14,Twoing,2,2,2
KDD98 Multiclass 5,RFA_15,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_15,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_15,Twoing,0,0,2
KDD98 Multiclass 5,RFA_16,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_16,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_16,Twoing,1,1,2
KDD98 Multiclass 5,RFA_17,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_17,LS Squared Gini,1,1,0
KDD98 Multiclass 5,RFA_17,Twoing,0,0,2
KDD98 Multiclass 5,RFA_18,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_18,LS Squared Gini,1,1,0
KDD98 Multiclass 5,RFA_18,Twoing,1,1,2
KDD98 Multiclass 5,RFA_19,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_19,LS Squared Gini,1,1,0
KDD98 Multiclass 5,RFA_19,Twoing,1,1,2
KDD98 Multiclass 5,RFA_2,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_2,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_2,Twoing,1,1,2
KDD98 Multiclass 5,RFA_20,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_20,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_20,Twoing,0,0,2
KDD98 Multiclass 5,RFA_21,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_21,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_21,Twoing,0,0,2
KDD98 Multiclass 5,RFA_22,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_22,LS Squared Gini,2,2,0
KDD98 Multiclass 5,RFA_22,Twoing,0,0,2
KDD98 Multiclass 5,RFA_23,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_23,LS Squared Gini,1,1,0
KDD98 Multiclass 5,RFA_23,Twoing,0,0,2
KDD98 Multiclass 5,RFA_24,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_24,LS Squared Gini,1,1,0
KDD98 Multiclass 5,RFA_24,Twoing,0,0,2
KDD98 Multiclass 5,RFA_2A,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_2A,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_2A,Twoing,2,2,2
KDD98 Multiclass 5,RFA_3,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_3,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_3,Twoing,1,1,2
KDD98 Multiclass 5,RFA_4,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_4,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_4,Twoing,1,1,2
KDD98 Multiclass 5,RFA_5,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_5,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_5,Twoing,2,2,2
KDD98 Multiclass 5,RFA_6,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_6,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_6,Twoing,0,0,2
KDD98 Multiclass 5,RFA_7,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_7,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_7,Twoing,0,0,2
KDD98 Multiclass 5,RFA_8,LS Chi Square,0,0,1
KDD98 Multiclass 5,RFA_8,LS Squared Gini,0,0,0
KDD98 Multiclass 5,RFA_8,Twoing,2,2,2
KDD98 Multiclass 5,RFA_9,LS Chi Square,1,1,1
KDD98 Multiclass 5,RFA_9,LS Squared Gini,1,1,0
KDD98 Multiclass 5,RFA_9,Twoing,0,0,2
KDD98 Multiclass 5,STATE,LS Chi Square,0,0,1
KDD98 Multiclass 5,STATE,LS Squared Gini,2,2,0
KDD98 Multiclass 5,STATE,Twoing,1,1,2
KDD98 Multiclass 5,STEREO,LS Chi Square,1,1,1
KDD98 Multiclass 5,STEREO,LS Squared Gini,0,0,0
KDD98 Multiclass 5,STEREO,Twoing,2,2,2
KDD98 Multiclass 5,VETERANS,LS Chi Square,0,0,1
KDD98 Multiclass 5,VETERANS,LS Squared Gini,0,0,2
KDD98 Multiclass 5,VETERANS,Twoing,0,0,0
KDD98 Multiclass 5,WALKER,LS Chi Square,1,1,1
KDD98 Multiclass 5,WALKER,LS Squared Gini,0,0,0
KDD98 Multiclass 5,WALKER,Twoing,2,2,2
KDD98 Multiclass 9,AGEFLAG,LS Chi Square,0,0,1
KDD98 Multiclass 9,AGEFLAG,LS Squared Gini,0,0,0
KDD98 Multiclass 9,AGEFLAG,Twoing,1,1,2
KDD98 Multiclass 9,BIBLE,LS Chi Square,1,1,1
KDD98 Multiclass 9,BIBLE,LS Squared Gini,0,0,0
KDD98 Multiclass 9,BIBLE,Twoing,2,2,2
KDD98 Multiclass 9,CATLG,LS Chi Square,1,1,1
KDD98 Multiclass 9,CATLG,LS Squared Gini,0,0,0
KDD98 Multiclass 9,CATLG,Twoing,2,2,2
KDD98 Multiclass 9,CDPLAY,LS Chi Square,1,1,1
KDD98 Multiclass 9,CDPLAY,LS Squared Gini,0,0,0
KDD98 Multiclass 9,CDPLAY,Twoing,2,2,2
KDD98 Multiclass 9,COLLECT1,LS Chi Square,1,1,1
KDD98 Multiclass 9,COLLECT1,LS Squared Gini,0,0,0
KDD98 Multiclass 9,COLLECT1,Twoing,2,2,2
KDD98 Multiclass 9,CRAFTS,LS Chi Square,1,1,1
KDD98 Multiclass 9,CRAFTS,LS Squared Gini,0,0,0
KDD98 Multiclass 9,CRAFTS,Twoing,2,2,2
KDD98 Multiclass 9,DOMAIN,LS Chi Square,1,1,1
KDD98 Multiclass 9,DOMAIN,LS Squared Gini,1,1,0
KDD98 Multiclass 9,DOMAIN,Twoing,0,0,2
KDD98 Multiclass 9,FISHER,LS Chi Square,1,1,1
KDD98 Multiclass 9,FISHER,LS Squared Gini,0,0,0
KDD98 Multiclass 9,FISHER,Twoing,2,2,2
KDD98 Multiclass 9,GARDENIN,LS Chi Square,1,1,1
KDD98 Multiclass 9,GARDENIN,LS Squared Gini,0,0,0
KDD98 Multiclass 9,GARDENIN,Twoing,2,2,2
KDD98 Multiclass 9,GENDER,LS Chi Square,0,0,1
KDD98 Multiclass 9,GENDER,LS Squared Gini,0,0,2
KDD98 Multiclass 9,GENDER,Twoing,0,0,0
KDD98 Multiclass 9,GEOCODE2,LS Chi Square,1,1,1
KDD98 Multiclass 9,GEOCODE2,LS Squared Gini,0,0,0
KDD98 Multiclass 9,GEOCODE2,Twoing,1,1,2
KDD98 Multiclass 9,OSOURCE,LS Chi Square,0,0,1
KDD98 Multiclass 9,OSOURCE,LS Squared Gini,1,1,0
KDD98 Multiclass 9,OSOURCE,Twoing,2,2,2
KDD98 Multiclass 9,PCOWNERS,LS Chi Square,1,1,1
KDD98 Multiclass 9,PCOWNERS,LS Squared Gini,0,0,0
KDD98 Multiclass 9,PCOWNERS,Twoing,2,2,2
KDD98 Multiclass 9,PEPSTRFL,LS Chi Square,1,1,1
KDD98 Multiclass 9,PEPSTRFL,LS Squared Gini,0,0,0
KDD98 Multiclass 9,PEPSTRFL,Twoing,2,2,2
KDD98 Multiclass 9,PETS,LS Chi Square,1,1,1
KDD98 Multiclass 9,PETS,LS Squared Gini,0,0,0
KDD98 Multiclass 9,PETS,Twoing,2,2,2
KDD98 Multiclass 9,RECINHSE,LS Chi Square,1,1,1
KDD98 Multiclass 9,RECINHSE,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RECINHSE,Twoing,2,2,2
KDD98 Multiclass 9,RECP3,LS Chi Square,1,1,1
KDD98 Multiclass 9,RECP3,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RECP3,Twoing,2,2,2
KDD98 Multiclass 9,RFA_10,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_10,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_10,Twoing,1,1,2
KDD98 Multiclass 9,RFA_11,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_11,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_11,Twoing,2,2,2
KDD98 Multiclass 9,RFA_12,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_12,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_12,Twoing,1,1,2
KDD98 Multiclass 9,RFA_13,LS Chi Square,2,2,1
KDD98 Multiclass 9,RFA_13,LS Squared Gini,1,1,0
KDD98 Multiclass 9,RFA_13,Twoing,0,0,2
KDD98 Multiclass 9,RFA_14,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_14,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_14,Twoing,2,2,2
KDD98 Multiclass 9,RFA_15,LS Chi Square,2,2,1
KDD98 Multiclass 9,RFA_15,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_15,Twoing,0,0,2
KDD98 Multiclass 9,RFA_16,LS Chi Square,2,2,1
KDD98 Multiclass 9,RFA_16,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_16,Twoing,1,1,2
KDD98 Multiclass 9,RFA_17,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_17,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_17,Twoing,0,0,2
KDD98 Multiclass 9,RFA_18,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_18,LS Squared Gini,1,1,0
KDD98 Multiclass 9,RFA_18,Twoing,1,1,2
KDD98 Multiclass 9,RFA_19,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_19,LS Squared Gini,1,1,0
KDD98 Multiclass 9,RFA_19,Twoing,0,0,2
KDD98 Multiclass 9,RFA_2,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_2,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_2,Twoing,1,1,2
KDD98 Multiclass 9,RFA_20,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_20,LS Squared Gini,2,2,0
KDD98 Multiclass 9,RFA_20,Twoing,0,0,2
KDD98 Multiclass 9,RFA_21,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_21,LS Squared Gini,2,2,0
KDD98 Multiclass 9,RFA_21,Twoing,1,1,2
KDD98 Multiclass 9,RFA_22,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_22,LS Squared Gini,2,2,0
KDD98 Multiclass 9,RFA_22,Twoing,0,0,2
KDD98 Multiclass 9,RFA_23,LS Chi Square,2,2,1
KDD98 Multiclass 9,RFA_23,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_23,Twoing,0,0,2
KDD98 Multiclass 9,RFA_24,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_24,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_24,Twoing,0,0,2
KDD98 Multiclass 9,RFA_2A,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_2A,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_2A,Twoing,2,2,2
KDD98 Multiclass 9,RFA_3,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_3,LS Squared Gini,2,2,0
KDD98 Multiclass 9,RFA_3,Twoing,1,1,2
KDD98 Multiclass 9,RFA_4,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_4,LS Squared Gini,1,1,0
KDD98 Multiclass 9,RFA_4,Twoing,1,1,2
KDD98 Multiclass 9,RFA_5,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_5,LS Squared Gini,1,1,0
KDD98 Multiclass 9,RFA_5,Twoing,1,1,2
KDD98 Multiclass 9,RFA_6,LS Chi Square,0,0,1
KDD98 Multiclass 9,RFA_6,LS Squared Gini,1,1,0
KDD98 Multiclass 9,RFA_6,Twoing,0,0,2
KDD98 Multiclass 9,RFA_7,LS Chi Square,2,2,1
KDD98 Multiclass 9,RFA_7,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_7,Twoing,0,0,2
KDD98 Multiclass 9,RFA_8,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_8,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_8,Twoing,0,0,2
KDD98 Multiclass 9,RFA_9,LS Chi Square,1,1,1
KDD98 Multiclass 9,RFA_9,LS Squared Gini,0,0,0
KDD98 Multiclass 9,RFA_9,Twoing,1,1,2
KDD98 Multiclass 9,STATE,LS Chi Square,0,0,1
KDD98 Multiclass 9,STATE,LS Squared Gini,0,0,2
KDD98 Multiclass 9,STATE,Twoing,0,0,0
KDD98 Multiclass 9,STEREO,LS Chi Square,1,1,1
KDD98 Multiclass 9,STEREO,LS Squared Gini,0,0,0
KDD98 Multiclass 9,STEREO,Twoing,2,2,2
KDD98 Multiclass 9,VETERANS,LS Chi Square,1,1,1
KDD98 Multiclass 9,VETERANS,LS Squared Gini,0,0,0
KDD98 Multiclass 9,VETERANS,Twoing,2,2,2
KDD98 Multiclass 9,WALKER,LS Chi Square,1,1,1
KDD98 Multiclass 9,WALKER,LS Squared Gini,0,0,0
KDD98 Multiclass 9,WALKER,Twoing,2,2,2
Mushroom,bruises?,LS Chi Square,1,1,1
Mushroom,bruises?,LS Squared Gini,0,0,0
Mushroom,bruises?,Twoing,2,2,2
Mushroom,cap-color,LS Chi Square,0,0,1
Mushroom,cap-color,LS Squared Gini,1,1,0
Mushroom,cap-color,Twoing,2,2,2
Mushroom,cap-shape,LS Chi Square,0,0,1
Mushroom,cap-shape,LS Squared Gini,2,2,0
Mushroom,cap-shape,Twoing,1,1,2
Mushroom,cap-surface,LS Chi Square,1,1,1
Mushroom,cap-surface,LS Squared Gini,0,0,0
Mushroom,cap-surface,Twoing,2,2,2
Mushroom,gill-color,LS Chi Square,1,1,1
Mushroom,gill-color,LS Squared Gini,0,0,0
Mushroom,gill-color,Twoing,2,2,2
Mushroom,gill-size,LS Chi Square,1,1,1
Mushroom,gill-size,LS Squared Gini,0,0,0
Mushroom,gill-size,Twoing,2,2,2
Mushroom,gill-spacing,LS Chi Square,1,1,1
Mushroom,gill-spacing,LS Squared Gini,0,0,0
Mushroom,gill-spacing,Twoing,2,2,2
Mushroom,habitat,LS Chi Square,1,1,1
Mushroom,habitat,LS Squared Gini,0,0,0
Mushroom,habitat,Twoing,2,2,2
Mushroom,odor,LS Chi Square,1,1,1
Mushroom,odor,LS Squared Gini,0,0,0
Mushroom,odor,Twoing,2,2,2
Mushroom,population,LS Chi Square,1,1,1
Mushroom,population,LS Squared Gini,0,0,0
Mushroom,population,Twoing,2,2,2
Mushroom,ring-number,LS Chi Square,0,0,1
Mushroom,ring-number,LS Squared Gini,0,0,0
Mushroom,ring-number,Twoing,1,1,2
Mushroom,ring-type,LS Chi Square,1,1,1
Mushroom,ring-type,LS Squared Gini,0,0,0
Mushroom,ring-type,Twoing,2,2,2
Mushroom,spore-print-color,LS Chi Square,1,1,1
Mushroom,spore-print-color,LS Squared Gini,0,0,0
Mushroom,spore-print-color,Twoing,2,2,2
Mushroom,stalk-color-above-ring,LS Chi Square,1,1,1
Mushroom,stalk-color-above-ring,LS Squared Gini,0,0,0
Mushroom,stalk-color-above-ring,Twoing,2,2,2
Mushroom,stalk-color-below-ring,LS Chi Square,1,1,1
Mushroom,stalk-color-below-ring,LS Squared Gini,0,0,0
Mushroom,stalk-color-below-ring,Twoing,2,2,2
Mushroom,stalk-root,LS Chi Square,1,1,1
Mushroom,stalk-root,LS Squared Gini,0,0,0
Mushroom,stalk-root,Twoing,2,2,2
Mushroom,stalk-shape,LS Chi Square,1,1,1
Mushroom,stalk-shape,LS Squared Gini,0,0,0
Mushroom,stalk-shape,Twoing,2,2,2
Mushroom,stalk-surface-above-ring,LS Chi Square,1,1,1
Mushroom,stalk-surface-above-ring,LS Squared Gini,0,0,0
Mushroom,stalk-surface-above-ring,Twoing,2,2,2
Mushroom,stalk-surface-below-ring,LS Chi Square,1,1,1
Mushroom,stalk-surface-below-ring,LS Squared Gini,0,0,0
Mushroom,stalk-surface-below-ring,Twoing,2,2,2
Nursery with Aggreg,NewAttrib1,LS Chi Square,1,1,1
Nursery with Aggreg,NewAttrib1,LS Squared Gini,0,0,0
Nursery with Aggreg,NewAttrib1,Twoing,1,1,2
Nursery with Aggreg,NewAttrib2,LS Chi Square,2,2,1
Nursery with Aggreg,NewAttrib2,LS Squared Gini,0,0,0
Nursery with Aggreg,NewAttrib2,Twoing,1,1,2
Nursery with Aggreg,NewAttrib3,LS Chi Square,1,1,1
Nursery with Aggreg,NewAttrib3,LS Squared Gini,0,0,0
Nursery with Aggreg,NewAttrib3,Twoing,2,2,2
Nursery with Aggreg,finance,LS Chi Square,1,1,1
Nursery with Aggreg,finance,LS Squared Gini,0,0,0
Nursery with Aggreg,finance,Twoing,2,2,2
Nursery with Aggreg,form,LS Chi Square,1,1,1
Nursery with Aggreg,form,LS Squared Gini,0,0,0
Nursery with Aggreg,form,Twoing,0,0,2
Nursery with Aggreg,has_nurs,LS Chi Square,1,1,1
Nursery with Aggreg,has_nurs,LS Squared Gini,0,0,0
Nursery with Aggreg,has_nurs,Twoing,2,2,2
Nursery with Aggreg,health,LS Chi Square,1,1,1
Nursery with Aggreg,health,LS Squared Gini,0,0,0
Nursery with Aggreg,health,Twoing,2,2,2
Nursery with Aggreg,housing,LS Chi Square,1,1,1
Nursery with Aggreg,housing,LS Squared Gini,0,0,0
Nursery with Aggreg,housing,Twoing,2,2,2
Nursery with Aggreg,parents,LS Chi Square,1,1,1
Nursery with Aggreg,parents,LS Squared Gini,0,0,0
Nursery with Aggreg,parents,Twoing,2,2,2
Nursery with Aggreg,social,LS Chi Square,1,1,1
Nursery with Aggreg,social,LS Squared Gini,0,0,0
Nursery with Aggreg,social,Twoing,2,2,2
